Wall time,Step,Value
1667389753.641804,15842,280.0
1667389753.996638,54791,73.0
1667389754.186432,74673,77.0
1667389754.325772,88244,300.0
1667389754.432288,97983,300.0
1667389754.639527,116087,300.0
1667389754.691735,119603,300.0
1667389754.782151,127353,188.0
1667389755.116849,157570,278.0
1667389755.183714,162840,39.0
1667389755.352727,177676,206.0
1667389755.621982,198089,90.0
1667389755.718533,206731,145.0
1667389755.720557,207031,300.0
1667389755.735423,209131,300.0
1667389755.879216,224480,300.0
1667389756.107804,243730,300.0
1667389756.516755,282779,300.0
1667389756.578788,288743,44.0
1667389756.589597,289463,247.0
1667389756.656144,294883,97.0
1667389756.704746,299383,300.0
1667389756.874717,315204,300.0
1667389757.096539,337099,300.0
1667389757.182155,345252,118.0
1667389757.221175,349213,300.0
1667389757.23724,350546,63.0
1667389757.357541,361598,300.0
1667389757.533621,378961,209.0
1667389757.567219,382632,300.0
1667389757.62978,391368,300.0
1667389757.808968,409213,68.0
1667389758.263189,451295,300.0
1667389758.344714,459702,95.0
1667389758.671854,486553,300.0
1667389758.737424,494113,300.0
1667389758.757724,495294,79.0
1667389758.791809,497853,163.0
1667389758.802086,498614,300.0
1667389758.816498,500714,300.0
1667389758.839183,503738,300.0
1667389758.884165,508010,300.0
1667389759.127378,532843,300.0
1667389759.588057,569387,19.0
1667389759.882113,595464,17.0
1667389760.016565,604374,18.0
1667389760.873382,694275,66.0
1667389760.953072,701122,143.0
1667389761.291158,730414,211.0
1667389761.319834,733881,300.0
1667389761.366196,736817,54.0
1667389761.455452,742667,72.0
1667389761.467518,743455,74.0
1667389761.627238,755656,300.0
1667389762.055918,788523,26.0
1667389762.449534,826888,300.0
1667389762.641805,842767,300.0
1667389762.653045,844258,291.0
1667389762.851792,861401,300.0
1667389763.047555,877069,300.0
1667389763.067067,879481,282.0
1667389763.115308,884421,233.0
1667389763.384964,910155,115.0
1667389763.457428,914924,300.0
1667389763.541374,921120,54.0
1667389763.543401,921148,28.0
1667389763.585865,925142,24.0
1667389763.765048,936604,300.0
1667389764.055951,956863,194.0
1667389764.139091,962229,89.0
1667389764.1454,962885,300.0
1667389764.268225,971028,220.0
1667389764.401501,982252,300.0
1667389764.677151,1010467,36.0
1667389764.85639,1023440,300.0
1667389764.86318,1024340,300.0
1667389764.900645,1029319,190.0
1667389765.227236,1054121,184.0
1667389765.243257,1055833,300.0
1667389765.291326,1060506,300.0
1667389765.293335,1060806,300.0
1667389765.643129,1093093,154.0
1667389765.903752,1116468,94.0
1667389766.739003,1181439,300.0
1667389766.920141,1196609,58.0
1667389767.184412,1219361,300.0
1667389767.353995,1234153,148.0
1667389767.448797,1240428,99.0
1667389767.946134,1276775,300.0
1667389768.051729,1283768,120.0
1667389768.248514,1295869,26.0
1667389768.268979,1296658,55.0
1667389768.322534,1300296,70.0
1667389768.39562,1306125,26.0
1667389768.671391,1331557,300.0
1667389768.713851,1333973,300.0
1667389768.812897,1340281,35.0
1667389768.833344,1341363,73.0
1667389768.939597,1348596,300.0
1667389769.296451,1373527,300.0
1667389769.612183,1394901,128.0
1667389769.91583,1422305,300.0
1667389770.021202,1430825,300.0
1667389770.292957,1450812,40.0
1667389770.329757,1452381,105.0
