Wall time,Step,Value
1666961169.42542,1800,600
1666961169.49934,19200,600
1666961169.50888,21600,600
1666961169.54652,31049,600
1666961169.57501,38249,600
1666961169.62408,49649,600
1666961169.64466,55049,600
1666961169.66435,59249,600
1666961169.6866,64049,600
1666961169.75533,76649,600
1666961169.80878,90449,600
1666961169.86221,104249,600
1666961169.8925,112049,600
1666961169.92697,121049,600
1666961169.96595,131249,600
1666961169.9824,135449,600
1666961170.03155,148049,600
1666961170.09114,163049,600
1666961170.12725,172649,600
1666961170.15069,179249,600
1666961170.22238,199649,600
1666961170.26652,212249,600
1666961170.31682,226649,600
1666961170.41362,254249,600
1666961170.47268,271049,600
1666961170.49326,277049,600
1666961170.51673,283649,600
1666961170.54917,292649,600
1666961170.62466,314249,600
1666961170.67975,329849,600
1666961170.70051,335849,600
1666961170.72431,342449,600
1666961170.83126,369449,600
1666961170.97834,404849,600
1666961171.15602,455249,600
1666961171.19946,466049,600
1666961171.24139,477449,600
1666961171.27395,485849,600
1666961171.30405,492449,600
1666961171.34634,503849,600
1666961171.39041,515849,600
1666961171.43165,527249,600
1666961171.48024,541049,600
1666961171.52992,553049,600
1666961171.63869,580649,600
1666961171.65204,584249,600
1666961171.70444,596849,600
1666961171.75197,609449,600
1666961171.77461,615449,600
1666961171.80159,622649,600
1666961171.85979,638849,600
1666961171.90727,650849,600
1666961171.98443,671249,600
1666961172.03371,683249,600
1666961172.05157,688049,600
1666961172.0834,695249,600
1666961172.16178,717449,600
1666961172.25587,744449,600
1666961172.26644,747449,600
1666961172.2836,752249,600
1666961172.39293,783449,600
1666961172.41208,788849,600
1666961172.43646,794207,600
1666961172.47186,803636,600
1666961172.50736,812790,600
1666961172.52399,817590,600
1666961172.60347,840062,600
1666961172.63814,849662,600
1666961172.72965,872784,600
1666961172.78938,888156,600
1666961172.83197,899235,600
1666961172.89754,914835,600
1666961172.92168,921435,600
1666961173.00785,946035,600
1666961173.05392,959235,600
1666961173.10426,973635,600
1666961173.16028,989835,600
1666961173.21547,1006035,600
1666961173.25309,1015035,600
1666961173.41283,1060035,600
1666961173.4256,1063635,600
1666961173.52805,1092435,600
1666961173.59521,1111635,600
1666961173.65156,1127860,600
1666961173.68297,1135660,600
1666961173.74839,1153660,600
1666961173.77793,1162060,600
1666961173.81666,1172860,600
1666961173.84267,1178860,600
1666961173.8771,1188460,600
1666961173.94363,1203460,600
1666961174.09337,1244860,600
1666961174.12079,1252660,600
1666961174.15432,1262260,600
1666961174.19899,1274860,600
1666961174.25202,1289860,600
1666961174.27516,1296460,600
1666961174.31119,1306660,600
1666961174.35599,1319260,600
1666961174.4243,1336660,600
1666961174.47498,1351060,600
