Wall time,Step,Value
1667390652.58656,12000,600
1667390652.59662,13800,600
1667390652.63342,20400,600
1667390652.76146,43800,600
1667390652.81928,54600,600
1667390652.83193,57000,600
1667390652.89523,69000,600
1667390652.92071,73800,600
1667390652.94013,77400,600
1667390652.94966,79200,600
1667390653.146,115800,600
1667390653.16209,118800,600
1667390653.1718,120600,600
1667390653.2912,144000,600
1667390653.29397,144600,600
1667390653.31683,149400,600
1667390653.44973,178200,600
1667390653.52119,191400,600
1667390653.60821,207600,600
1667390653.62919,211200,600
1667390653.69817,223200,600
1667390653.9609,268200,600
1667390654.02381,279000,600
1667390654.04118,282000,600
1667390654.06249,285600,600
1667390654.16764,303600,600
1667390654.18509,306600,600
1667390654.20288,309600,600
1667390654.26941,321000,600
1667390654.2729,321600,600
1667390654.43412,349200,600
1667390654.55371,369600,600
1667390654.64149,384600,600
1667390654.93304,434400,600
1667390654.93653,435000,600
1667390654.98585,443400,600
1667390654.98936,444000,600
1667390655.01036,447600,600
1667390655.02779,450600,600
1667390655.12966,468000,600
1667390655.15776,472800,600
1667390655.2702,492000,600
1667390655.36488,508200,600
1667390655.38588,511800,600
1667390655.57174,543600,600
1667390655.61709,551400,600
1667390655.72696,569400,600
1667390655.74922,573600,600
1667390655.76826,577200,600
1667390655.77456,578400,600
1667390655.83949,590400,600
1667390655.8894,599400,600
1667390655.92532,606000,600
1667390655.93509,607800,600
1667390655.97797,615600,600
1667390656.1472,646200,600
1667390656.17738,651000,600
1667390656.18391,652200,600
1667390656.22997,659400,600
1667390656.26226,665400,600
1667390656.32444,676800,600
1667390656.39807,689400,600
1667390656.42961,694800,600
1667390656.52075,710400,600
1667390656.58388,721200,600
1667390656.62932,729000,600
1667390656.65734,733800,600
1667390656.91134,777600,600
1667390657.01079,795600,600
1667390657.03733,800400,600
1667390657.16685,824400,600
1667390657.2281,835800,600
1667390657.26961,843600,600
1667390657.31108,851400,600
1667390657.3369,856200,600
1667390657.35927,860400,600
1667390657.36243,861000,600
1667390657.40095,868200,600
1667390657.49233,884400,600
1667390657.59381,902400,600
1667390657.60792,904800,600
1667390657.68507,918000,600
1667390657.73782,927000,600
1667390657.7836,934800,600
1667390657.79064,936000,600
1667390657.89253,953400,600
1667390657.93464,960600,600
1667390657.93841,961200,600
1667390657.95244,963600,600
1667390657.95603,964200,600
1667390657.97,966600,600
1667390657.98717,969600,600
1667390658.06086,983400,600
1667390658.06511,984000,600
1667390658.11955,991800,600
1667390658.13622,994800,600
1667390658.20093,1006200,600
1667390658.20513,1006800,600
1667390658.30445,1021200,600
1667390658.31078,1022400,600
1667390658.31472,1023000,600
1667390658.34357,1028400,600
1667390658.3661,1032600,600
1667390658.37256,1033800,600
1667390658.37898,1035000,600
1667390658.47973,1053600,600
1667390658.51127,1059600,600
1667390658.64888,1085400,600
1667390658.74598,1102200,600
1667390658.79615,1110000,600
1667390658.87641,1122600,600
1667390658.88962,1125000,600
1667390659.0105,1147200,600
1667390659.2462,1189800,600
1667390659.30974,1201200,600
1667390659.39962,1217400,600
1667390659.40928,1219200,600
1667390659.47999,1231200,600
1667390659.60625,1254000,600
1667390659.64471,1260600,600
1667390659.67617,1266000,600
1667390659.67962,1266600,600
1667390659.7744,1282800,600
1667390659.85869,1297200,600
1667390659.86215,1297800,600
1667390659.90053,1304400,600
1667390659.93199,1309800,600
1667390659.94976,1312800,600
1667390659.95328,1313400,600
1667390660.05466,1330800,600
1667390660.05817,1331400,600
1667390660.06552,1332600,600
1667390660.083,1335600,600
1667390660.15291,1347600,600
1667390660.18796,1353600,600
1667390660.21245,1357800,600
1667390660.35196,1381200,600
1667390660.37737,1386000,600
1667390660.51901,1411800,600
1667390660.68363,1441200,600
1667390660.81636,1465200,600
1667390660.84329,1470000,600
1667390660.86635,1474200,600
1667390660.87611,1476000,600
1667390660.90215,1480800,600
1667390660.94166,1488000,600
1667390660.95134,1489800,600
1667390660.99245,1497600,600
1667390661.00837,1500600,600
1667390661.01473,1501800,600
1667390661.04331,1507200,600
1667390661.11021,1519800,600
1667390661.14228,1525800,600
1667390661.25217,1546200,600
1667390661.44708,1578600,600
1667390661.461,1581000,600
1667390661.54166,1596000,600
1667390661.84621,1650600,600
1667390661.97406,1673400,600
1667390662.00085,1678200,600
1667390662.01091,1680000,600
1667390662.02753,1683000,600
1667390662.1081,1697400,600
1667390662.21202,1716000,600
1667390662.21539,1716600,600
1667390662.22546,1718400,600
1667390662.30606,1732800,600
1667390662.35673,1741800,600
1667390662.38672,1747200,600
1667390662.39348,1748400,600
1667390662.43362,1755600,600
1667390662.44733,1758000,600
1667390662.46744,1761600,600
1667390662.49102,1765800,600
1667390662.55123,1774800,600
1667390662.56108,1776600,600
1667390662.57566,1779000,600
1667390662.59763,1782600,600
1667390662.63441,1788600,600
1667390662.6602,1792800,600
1667390662.68594,1797000,600
1667390662.70464,1800000,600
1667390662.72288,1803000,600
1667390662.8005,1815600,600
1667390662.8079,1816800,600
1667390662.96291,1842000,600
1667390662.98138,1845000,600
1667390663.1247,1868400,600
1667390663.20932,1882200,600
1667390663.22405,1884600,600
1667390663.30169,1897800,600
1667390663.33015,1902600,600
1667390663.33364,1903200,600
1667390663.50383,1932600,600
1667390663.58163,1947000,600
1667390663.63081,1956000,600
1667390663.67974,1965000,600
1667390663.71598,1971600,600
1667390663.85819,1998000,600
1667390663.96088,2017200,600
1667390664.0333,2029800,600
1667390664.09036,2038800,600
1667390664.09795,2040000,600
1667390664.11797,2043600,600
1667390664.15357,2050200,600
1667390664.16637,2052600,600
1667390664.18922,2056800,600
1667390664.21362,2061000,600
1667390664.22052,2062200,600
1667390664.32241,2079600,600
1667390664.33287,2081400,600
1667390664.42754,2097600,600
1667390664.55365,2119200,600
1667390664.62402,2131200,600
1667390664.74334,2151600,600
1667390664.75732,2154000,600
1667390664.80264,2161800,600
1667390665.03965,2202600,600
1667390665.12932,2218800,600
1667390665.15609,2223600,600
1667390665.28012,2245800,600
1667390665.31702,2252400,600
1667390665.41699,2270400,600
1667390665.56811,2297400,600
1667390665.57143,2298000,600
1667390665.63494,2309400,600
1667390665.65497,2313000,600
1667390665.72543,2325600,600
1667390665.84466,2346600,600
1667390665.85432,2348400,600
1667390665.88272,2353800,600
1667390665.92069,2361000,600
1667390665.98293,2372400,600
1667390666.08174,2390400,600
1667390666.0882,2391600,600
1667390666.12414,2398200,600
1667390666.15353,2403600,600
1667390666.20735,2413200,600
1667390666.24405,2419800,600
1667390666.24738,2420400,600
1667390666.3582,2440200,600
1667390666.42173,2451600,600
1667390666.4489,2456400,600
1667390666.4756,2461200,600
1667390666.48232,2462400,600
1667390666.51575,2468400,600
1667390666.60622,2484600,600
1667390666.67642,2497200,600
1667390666.75697,2511600,600
1667390666.76706,2513400,600
1667390666.92397,2541600,600
1667390666.93354,2543400,600
1667390666.96649,2548800,600
1667390667.05858,2563200,600
1667390667.07821,2566200,600
1667390667.10887,2571000,600
1667390667.36293,2610600,600
1667390667.40909,2617800,600
1667390667.50921,2633400,600
1667390667.80995,2680200,600
1667390667.8525,2686800,600
1667390667.99732,2709600,600
1667390668.0104,2712000,600
1667390668.05562,2720400,600
1667390668.11135,2730000,600
1667390668.26687,2757000,600
1667390668.27371,2758200,600
1667390668.30074,2763000,600
1667390668.30409,2763600,600
1667390668.35922,2773200,600
1667390668.44969,2788800,600
1667390668.46979,2792400,600
1667390668.507,2799000,600
1667390668.53724,2804400,600
1667390668.55,2806800,600
1667390668.5966,2814600,600
1667390668.72162,2838000,600
1667390668.76771,2846400,600
1667390668.78275,2848800,600
1667390668.80521,2853600,600
1667390669.03701,2892000,600
1667390669.10291,2902800,600
1667390669.13189,2908200,600
1667390669.24997,2929800,600
1667390669.27893,2935200,600
1667390669.28856,2937000,600
1667390669.41821,2960400,600
1667390669.42157,2961000,600
1667390669.44205,2964600,600
1667390669.56331,2986200,600
1667390669.57003,2987400,600
1667390669.60016,2992800,600
1667390669.60352,2993400,600
1667390669.61367,2995200,600
1667390669.61696,2995800,600
1667390669.6268,2997600,600
1667390669.66547,3004800,600
1667390669.75,3016800,600
1667390669.85186,3033600,600
1667390669.91899,3044400,600
1667390669.99181,3057600,600
1667390669.99497,3058200,600
1667390670.06256,3070800,600
1667390670.08188,3074400,600
1667390670.1205,3081600,600
1667390670.21447,3099000,600
1667390670.29089,3113400,600
1667390670.32333,3119400,600
1667390670.33611,3121800,600
1667390670.34576,3123600,600
1667390670.42269,3138000,600
1667390670.43559,3140400,600
1667390670.50964,3154200,600
1667390670.54178,3160200,600
1667390670.58368,3168000,600
1667390670.84306,3216600,600
