Wall time,Step,Value
1667389753.640685,15842,1.0
1667389753.995535,54791,1.0
1667389754.185326,74673,1.0
1667389754.324642,88244,0.0
1667389754.431176,97983,0.0
1667389754.638388,116087,0.0
1667389754.690601,119603,0.0
1667389754.781051,127353,1.0
1667389755.115898,157570,1.0
1667389755.182705,162840,1.0
1667389755.351618,177676,1.0
1667389755.620981,198089,1.0
1667389755.717587,206731,1.0
1667389755.719594,207031,0.0
1667389755.734414,209131,0.0
1667389755.878195,224480,0.0
1667389756.105453,243730,0.0
1667389756.515733,282779,0.0
1667389756.577779,288743,1.0
1667389756.588295,289463,1.0
1667389756.655129,294883,1.0
1667389756.703722,299383,0.0
1667389756.873707,315204,0.0
1667389757.095462,337099,0.0
1667389757.181151,345252,1.0
1667389757.220127,349213,0.0
1667389757.236138,350546,1.0
1667389757.356521,361598,0.0
1667389757.532629,378961,1.0
1667389757.566212,382632,0.0
1667389757.62889,391368,0.0
1667389757.808026,409213,1.0
1667389758.262105,451295,0.0
1667389758.343641,459702,1.0
1667389758.67087,486553,0.0
1667389758.736509,494113,0.0
1667389758.756535,495294,1.0
1667389758.790843,497853,1.0
1667389758.801087,498614,0.0
1667389758.815529,500714,0.0
1667389758.83819,503738,0.0
1667389758.883232,508010,0.0
1667389759.126363,532843,0.0
1667389759.587046,569387,1.0
1667389759.881119,595464,1.0
1667389760.015593,604374,1.0
1667389760.872444,694275,1.0
1667389760.952089,701122,1.0
1667389761.290193,730414,1.0
1667389761.318863,733881,0.0
1667389761.364609,736817,1.0
1667389761.454402,742667,1.0
1667389761.466573,743455,1.0
1667389761.626215,755656,0.0
1667389762.054792,788523,1.0
1667389762.448399,826888,0.0
1667389762.640759,842767,0.0
1667389762.651949,844258,1.0
1667389762.850799,861401,0.0
1667389763.046574,877069,0.0
1667389763.06613,879481,1.0
1667389763.114243,884421,1.0
1667389763.38388,910155,1.0
1667389763.456429,914924,0.0
1667389763.5404,921120,1.0
1667389763.542461,921148,1.0
1667389763.584894,925142,1.0
1667389763.764058,936604,0.0
1667389764.055005,956863,1.0
1667389764.138106,962229,1.0
1667389764.14442,962885,0.0
1667389764.267258,971028,1.0
1667389764.400494,982252,0.0
1667389764.676156,1010467,1.0
1667389764.855128,1023440,0.0
1667389764.86216,1024340,0.0
1667389764.899649,1029319,1.0
1667389765.226334,1054121,1.0
1667389765.242282,1055833,0.0
1667389765.290342,1060506,0.0
1667389765.292431,1060806,0.0
1667389765.642198,1093093,1.0
1667389765.902828,1116468,1.0
1667389766.738034,1181439,0.0
1667389766.919237,1196609,1.0
1667389767.183435,1219361,0.0
1667389767.351823,1234153,1.0
1667389767.447827,1240428,1.0
1667389767.945126,1276775,0.0
1667389768.050722,1283768,1.0
1667389768.246941,1295869,1.0
1667389768.267964,1296658,1.0
1667389768.321577,1300296,1.0
1667389768.394635,1306125,1.0
1667389768.670362,1331557,0.0
1667389768.712896,1333973,0.0
1667389768.811924,1340281,1.0
1667389768.832382,1341363,1.0
1667389768.93859,1348596,0.0
1667389769.295472,1373527,0.0
1667389769.611163,1394901,1.0
1667389769.914855,1422305,0.0
1667389770.020274,1430825,0.0
1667389770.2919,1450812,1.0
1667389770.328864,1452381,1.0
1667389770.916057,1490380,0.0
1667389771.092332,1501739,1.0
1667389771.181737,1506554,1.0
1667389771.284263,1513708,1.0
1667389771.65593,1547492,0.0
1667389771.699251,1550605,1.0
1667389771.846077,1559858,1.0
1667389772.285052,1588288,1.0
1667389772.457086,1600864,0.0
1667389772.535468,1606951,0.0
1667389772.740263,1619455,0.0
1667389772.772528,1620659,1.0
1667389773.022543,1636984,0.0
1667389773.085319,1639884,1.0
1667389773.150124,1643654,1.0
1667389773.162922,1644163,1.0
1667389773.266678,1652510,0.0
1667389773.283068,1654360,1.0
1667389773.353881,1661745,0.0
1667389773.734216,1700686,1.0
1667389774.000774,1724616,0.0
1667389774.091553,1729386,0.0
1667389774.102122,1730549,0.0
1667389775.050143,1794651,1.0
1667389775.256788,1811190,1.0
1667389775.970524,1870836,1.0
1667389776.217162,1888327,1.0
1667389776.233567,1889800,1.0
1667389776.560723,1914966,0.0
1667389776.821319,1935682,1.0
1667389776.902553,1941900,0.0
1667389776.928033,1944126,1.0
1667389777.070553,1953404,1.0
1667389777.150357,1958442,1.0
1667389777.317143,1969923,1.0
1667389777.468551,1980855,1.0
1667389777.497169,1983538,1.0
1667389777.846979,2007306,0.0
1667389777.872702,2008423,1.0
1667389777.888197,2009243,1.0
1667389777.906916,2010554,1.0
1667389778.024923,2016731,1.0
1667389778.027047,2016890,1.0
1667389778.066632,2019849,1.0
1667389778.104466,2022023,1.0
1667389778.148439,2026110,0.0
1667389778.171442,2027441,1.0
1667389778.617189,2056702,1.0
1667389779.233163,2090150,0.0
1667389779.6896,2113551,1.0
1667389779.699044,2114360,0.0
1667389779.780348,2117705,0.0
1667389779.863504,2123018,0.0
1667389780.195969,2142175,1.0
1667389780.410091,2155881,1.0
1667389781.458857,2221418,0.0
1667389781.700824,2235211,0.0
1667389781.974437,2255892,0.0
1667389782.272383,2274356,0.0
1667389782.357279,2278982,0.0
1667389782.522053,2289842,1.0
1667389782.638123,2296621,0.0
1667389782.789007,2305447,1.0
1667389783.265415,2337205,1.0
1667389783.393513,2345317,1.0
1667389784.016002,2386035,0.0
1667389784.126965,2392794,1.0
1667389784.250005,2401841,1.0
1667389784.292922,2404147,1.0
1667389784.35611,2407518,1.0
1667389784.407199,2410247,1.0
1667389784.654456,2423977,1.0
1667389784.811786,2432760,0.0
1667389785.035266,2446208,0.0
1667389785.23578,2462294,0.0
1667389785.450122,2480303,1.0
1667389785.829616,2502622,1.0
1667389786.001261,2513883,1.0
1667389786.155204,2523003,1.0
1667389786.219816,2527105,0.0
1667389786.840009,2565265,0.0
1667389787.064925,2579954,0.0
1667389787.071183,2580112,1.0
1667389787.439291,2602050,0.0
1667389788.115554,2647308,1.0
1667389788.149771,2649313,1.0
1667389788.354565,2663807,0.0
1667389788.535131,2674679,1.0
1667389788.745761,2688003,1.0
1667389788.806214,2691853,1.0
1667389788.851877,2694038,1.0
1667389788.918635,2699917,1.0
1667389788.945414,2702574,1.0
1667389788.998592,2706223,0.0
1667389789.06038,2710207,1.0
1667389789.104299,2712377,1.0
1667389789.112606,2712988,1.0
1667389789.402807,2730471,0.0
1667389789.409031,2730848,1.0
1667389790.038602,2767760,1.0
1667389790.153402,2775770,1.0
1667389790.210634,2779992,1.0
1667389790.308575,2786226,1.0
1667389790.62992,2803409,1.0
1667389790.811663,2813227,1.0
1667389790.929587,2820754,0.0
1667389790.971289,2823749,1.0
1667389791.289632,2841142,1.0
1667389791.559935,2857512,1.0
1667389791.562116,2857551,1.0
1667389791.64445,2861071,1.0
1667389791.73175,2867647,0.0
1667389791.803121,2870759,1.0
1667389791.847214,2874082,1.0
1667389791.914783,2877665,0.0
1667389792.03073,2883465,0.0
1667389792.351524,2899956,1.0
1667389792.579856,2914397,1.0
1667389792.888635,2932702,1.0
1667389793.300285,2957973,1.0
1667389793.605563,2977795,0.0
1667389793.908104,2998396,1.0
1667389794.120175,3012223,0.0
1667389794.254231,3019684,1.0
1667389794.6967,3046847,1.0
1667389794.823763,3054631,0.0
1667389794.854482,3055922,0.0
1667389794.886561,3057395,1.0
1667389795.091208,3071531,1.0
1667389795.168063,3077088,0.0
1667389795.445941,3093007,1.0
1667389795.609855,3101482,1.0
1667389795.890628,3118107,0.0
1667389796.011195,3126203,0.0
1667389796.463882,3156759,1.0
1667389796.88752,3179375,1.0
1667389796.896472,3180103,0.0
1667389797.302573,3206773,1.0
1667389797.306692,3207158,0.0
1667389797.327423,3208727,1.0
1667389797.352554,3210218,0.0
1667389797.510678,3219817,1.0
1667389797.590837,3224957,1.0
1667389797.744036,3234678,0.0
1667389797.762724,3236120,0.0
1667389797.827656,3240459,0.0
1667389797.84459,3241367,1.0
1667389797.880393,3243787,1.0
1667389798.11505,3256143,1.0
1667389798.176658,3260051,1.0
1667389798.500141,3282143,0.0
1667389798.873879,3305727,1.0
1667389798.908864,3307994,0.0
1667389798.98829,3312618,1.0
1667389799.004819,3313726,1.0
1667389799.279815,3328460,1.0
1667389799.320054,3330390,0.0
1667389799.473825,3340111,1.0
1667389799.495479,3341753,1.0
1667389799.754679,3357213,0.0
1667389800.156187,3376539,1.0
1667389800.619622,3404224,1.0
1667389800.750163,3410330,0.0
1667389800.948381,3421253,1.0
1667389801.177119,3432492,1.0
1667389801.485216,3450146,1.0
1667389801.583777,3455304,1.0
1667389801.601306,3456643,0.0
1667389801.824351,3469765,1.0
1667389801.8413,3471377,0.0
1667389802.382932,3508016,1.0
1667389802.391124,3508683,0.0
1667389802.624719,3524180,1.0
1667389802.647885,3525515,0.0
1667389803.043423,3551299,1.0
1667389803.502651,3578364,0.0
1667389803.587336,3583330,1.0
1667389803.755897,3596581,1.0
1667389803.865295,3602522,1.0
1667389804.117571,3618183,0.0
1667389804.250573,3628001,0.0
1667389804.492961,3643285,1.0
1667389804.617624,3651148,1.0
1667389804.638406,3652411,1.0
1667389804.667715,3654147,1.0
1667389804.887096,3668214,0.0
1667389804.926948,3670263,1.0
1667389805.103282,3683493,1.0
1667389805.257996,3692641,1.0
1667389805.544812,3709884,0.0
1667389805.649442,3717850,0.0
1667389805.898983,3733556,1.0
1667389806.051579,3744283,0.0
1667389806.680334,3786218,1.0
1667389806.737435,3790851,0.0
1667389807.169706,3816309,1.0
1667389807.200668,3817523,1.0
1667389807.258585,3821676,1.0
1667389807.415476,3833939,1.0
1667389807.525527,3841185,1.0
1667389807.616238,3847673,1.0
1667389807.706645,3855460,0.0
1667389807.721369,3855658,1.0
1667389807.833291,3864055,1.0
1667389808.106158,3880909,1.0
1667389808.145791,3884219,0.0
1667389808.459653,3902826,1.0
1667389808.825107,3925832,1.0
1667389809.197104,3950197,1.0
1667389809.486521,3969912,1.0
1667389809.62961,3979154,0.0
1667389809.792009,3990531,1.0
1667389810.109974,4010909,1.0
1667389810.364692,4029712,1.0
1667389810.441435,4033821,1.0
1667389810.573368,4042009,1.0
1667389810.733256,4052649,0.0
1667389810.741657,4053080,1.0
1667389810.743782,4053136,1.0
1667389810.896869,4064426,0.0
1667389810.923528,4065932,1.0
1667389811.094405,4075128,1.0
1667389811.307123,4088522,1.0
1667389811.595072,4104736,1.0
1667389811.729692,4112469,1.0
1667389811.740182,4112859,1.0
1667389811.797206,4116432,1.0
1667389811.975158,4130053,1.0
1667389812.291488,4149701,1.0
1667389812.440141,4157315,1.0
1667389812.478342,4159305,0.0
1667389812.588555,4166416,1.0
1667389813.094373,4198651,1.0
