Wall time,Step,Value
1667390652.58407,12000,0
1667390652.59414,13800,0
1667390652.63095,20400,0
1667390652.75914,43800,0
1667390652.8169,54600,0
1667390652.82961,57000,0
1667390652.89293,69000,0
1667390652.91839,73800,0
1667390652.93784,77400,0
1667390652.94735,79200,0
1667390653.14357,115800,0
1667390653.15971,118800,0
1667390653.16937,120600,0
1667390653.28916,144000,0
1667390653.29195,144600,0
1667390653.31461,149400,0
1667390653.44612,178200,0
1667390653.51894,191400,0
1667390653.60571,207600,0
1667390653.62664,211200,0
1667390653.69564,223200,0
1667390653.95833,268200,0
1667390654.0212,279000,0
1667390654.03862,282000,0
1667390654.05962,285600,0
1667390654.16509,303600,0
1667390654.18258,306600,0
1667390654.20035,309600,0
1667390654.26682,321000,0
1667390654.27033,321600,0
1667390654.43156,349200,0
1667390654.55116,369600,0
1667390654.6389,384600,0
1667390654.93044,434400,0
1667390654.93396,435000,0
1667390654.9833,443400,0
1667390654.98676,444000,0
1667390655.00776,447600,0
1667390655.02521,450600,0
1667390655.12709,468000,0
1667390655.15516,472800,0
1667390655.26757,492000,0
1667390655.36232,508200,0
1667390655.3833,511800,0
1667390655.56918,543600,0
1667390655.61451,551400,0
1667390655.72458,569400,0
1667390655.7469,573600,0
1667390655.76597,577200,0
1667390655.77224,578400,0
1667390655.83706,590400,0
1667390655.88695,599400,0
1667390655.92288,606000,0
1667390655.93271,607800,0
1667390655.97561,615600,0
1667390656.14488,646200,0
1667390656.17497,651000,0
1667390656.18147,652200,0
1667390656.22758,659400,0
1667390656.25987,665400,0
1667390656.32184,676800,0
1667390656.39548,689400,0
1667390656.42698,694800,0
1667390656.51817,710400,0
1667390656.58128,721200,0
1667390656.62675,729000,0
1667390656.65478,733800,0
1667390656.90894,777600,0
1667390657.00832,795600,0
1667390657.03485,800400,0
1667390657.16451,824400,0
1667390657.22576,835800,0
1667390657.26725,843600,0
1667390657.30879,851400,0
1667390657.33457,856200,0
1667390657.35694,860400,0
1667390657.3601,861000,0
1667390657.39858,868200,0
1667390657.48998,884400,0
1667390657.59129,902400,0
1667390657.60534,904800,0
1667390657.68252,918000,0
1667390657.73525,927000,0
1667390657.78106,934800,0
1667390657.78804,936000,0
1667390657.88992,953400,0
1667390657.93206,960600,0
1667390657.93556,961200,0
1667390657.94986,963600,0
1667390657.95342,964200,0
1667390657.96747,966600,0
1667390657.98476,969600,0
1667390658.05853,983400,0
1667390658.06174,984000,0
1667390658.11701,991800,0
1667390658.13383,994800,0
1667390658.19788,1006200,0
1667390658.20202,1006800,0
1667390658.30212,1021200,0
1667390658.30849,1022400,0
1667390658.31163,1023000,0
1667390658.34118,1028400,0
1667390658.36376,1032600,0
1667390658.3702,1033800,0
1667390658.3766,1035000,0
1667390658.47737,1053600,0
1667390658.50894,1059600,0
1667390658.6465,1085400,0
1667390658.74328,1102200,0
1667390658.79337,1110000,0
1667390658.87396,1122600,0
1667390658.88725,1125000,0
1667390659.00809,1147200,0
1667390659.24372,1189800,0
1667390659.30733,1201200,0
1667390659.39727,1217400,0
1667390659.40693,1219200,0
1667390659.47756,1231200,0
1667390659.60363,1254000,0
1667390659.64216,1260600,0
1667390659.67356,1266000,0
1667390659.67708,1266600,0
1667390659.77184,1282800,0
1667390659.85608,1297200,0
1667390659.85961,1297800,0
1667390659.89795,1304400,0
1667390659.92943,1309800,0
1667390659.94723,1312800,0
1667390659.9507,1313400,0
1667390660.05213,1330800,0
1667390660.05559,1331400,0
1667390660.06292,1332600,0
1667390660.08048,1335600,0
1667390660.15034,1347600,0
1667390660.18512,1353600,0
1667390660.20989,1357800,0
