Wall time,Step,Value
1666961169.44367,6000,0
1666961169.50473,21000,0
1666961169.53774,29249,0
1666961169.57093,37649,0
1666961169.60876,46049,0
1666961169.62694,50849,0
1666961169.65754,58649,0
1666961169.67933,62849,0
1666961169.71045,68249,0
1666961169.77979,83249,0
1666961169.85093,101849,0
1666961169.87461,107849,0
1666961169.89994,114449,0
1666961169.95721,129449,0
1666961169.9738,133649,0
1666961170.00563,142049,0
1666961170.04657,152249,0
1666961170.10099,166049,0
1666961170.13643,175649,0
1666961170.17434,186449,0
1666961170.24399,206249,0
1666961170.27957,216449,0
1666961170.39914,250649,0
1666961170.44571,263849,0
1666961170.48561,275249,0
1666961170.50451,280649,0
1666961170.52378,286049,0
1666961170.57455,300449,0
1666961170.63565,317849,0
1666961170.68844,332849,0
1666961170.71429,340049,0
1666961170.81898,366449,0
1666961170.83615,371249,0
1666961170.98507,406649,0
1666961171.18256,462449,0
1666961171.213,470249,0
1666961171.25108,480449,0
1666961171.27942,487649,0
1666961171.33332,500849,0
1666961171.36911,510449,0
1666961171.41703,523649,0
1666961171.47651,540449,0
1666961171.48298,542249,0
1666961171.5389,556049,0
1666961171.64151,581849,0
1666961171.66588,588449,0
1666961171.72765,603449,0
1666961171.76371,613049,0
1666961171.79777,622049,0
1666961171.8306,631049,0
1666961171.88369,644849,0
1666961171.94406,661049,0
1666961172.00212,675449,0
1666961172.04541,686849,0
1666961172.07315,692849,0
1666961172.15397,715649,0
1666961172.16478,718649,0
1666961172.26064,746249,0
1666961172.26913,748649,0
1666961172.35136,772049,0
1666961172.40636,787649,0
1666961172.41692,790607,0
1666961172.44612,797207,0
1666961172.49954,810990,0
1666961172.51826,816390,0
1666961172.53504,821190,0
1666961172.62365,846062,0
1666961172.65544,854673,0
1666961172.7431,876984,0
1666961172.82398,897435,0
1666961172.84313,902835,0
1666961172.90995,918435,0
1666961173.00005,944235,0
1666961173.04836,958035,0
1666961173.07125,964635,0
1666961173.11301,976635,0
1666961173.16666,992235,0
1666961173.23856,1011435,0
1666961173.40915,1059435,0
1666961173.41984,1062435,0
1666961173.50728,1087035,0
1666961173.59163,1111035,0
1666961173.63427,1123085,0
1666961173.65613,1129660,0
1666961173.68761,1136860,0
1666961173.76591,1159060,0
1666961173.78254,1163860,0
1666961173.8276,1176460,0
1666961173.86496,1185460,0
1666961173.93126,1200460,0
1666961174.04893,1232860,0
1666961174.10654,1249060,0
1666961174.12745,1255060,0
1666961174.19125,1273060,0
1666961174.23345,1285060,0
1666961174.26095,1292860,0
1666961174.28433,1299460,0
1666961174.33108,1312660,0
1666961174.35867,1320460,0
1666961174.44839,1343860,0
1666961174.47975,1352860,0
1666961174.50829,1361260,0
1666961174.55732,1372660,0
1666961174.60148,1385260,0
1666961174.62447,1391860,0
1666961174.64564,1397860,0
1666961174.69189,1409260,0
1666961174.73929,1421915,0.857333362102508
1666961174.82633,1445030,0
1666961174.89683,1464177,0
1666961174.93296,1473738,0
1666961174.95415,1479518,0.844333350658417
1666961175.01627,1496318,0
1666961175.08611,1515266,0
1666961175.16131,1534900,0
1666961175.26736,1561072,0
1666961175.30087,1570261,0
1666961175.35515,1582807,0
1666961175.44703,1606430,0
1666961175.50747,1621884,0
1666961175.59747,1645881,0
1666961175.63056,1655481,0
1666961175.66809,1666280,0
1666961175.69238,1671680,0
1666961175.73072,1680569,0
1666961175.80004,1700112,0
1666961175.86578,1717947,0
1666961175.95241,1740985,0
1666961175.97368,1746803,0
1666961176.05327,1769422,0
1666961176.17085,1801278,0
1666961176.19136,1806953,0.908333361148834
1666961176.20158,1809821,0
1666961176.26827,1825835,0
1666961176.29384,1833035,0
1666961176.34845,1846318,0
1666961176.37384,1853095,0
1666961176.43474,1868758,0
1666961176.51504,1888365,0
1666961176.55691,1899115,0.839666664600372
1666961176.61589,1915226,0
1666961176.68095,1933720,0
1666961176.70918,1940230,0
1666961176.86182,1982540,0.913666665554047
